latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.61338,-51.59209,326.83,2.69,1.57,2025-06-27,0022,T,100,6.1NRT,293.82,100.56,N
-8.61856,-51.575,366.89,2.68,1.57,2025-06-27,0022,T,100,6.1NRT,295.67,442.93,N
-8.62147,-51.59825,311.54,2.69,1.57,2025-06-27,0022,T,83,6.1NRT,292.91,39.87,N
-8.60471,-51.57663,308.23,2.68,1.57,2025-06-27,0022,T,74,6.1NRT,293.07,31.71,N
-8.36903,-51.06518,302.03,2.42,1.5,2025-06-27,0022,T,35,6.1NRT,291.91,14.65,N
-8.37152,-51.08611,309.25,2.43,1.5,2025-06-27,0022,T,77,6.1NRT,293.17,30.43,N
-8.37252,-51.07119,312.74,2.42,1.5,2025-06-27,0022,T,86,6.1NRT,292.67,42.29,N
-8.3752,-51.09231,303.99,2.43,1.5,2025-06-27,0022,T,58,6.1NRT,293.17,20.35,N
-7.21617,-43.07549,328.15,1.06,1.03,2025-06-27,0022,T,100,6.1NRT,296.54,26.72,N
-7.21749,-43.08488,381.82,1.06,1.03,2025-06-27,0022,T,100,6.1NRT,300.57,173.13,N
-7.2188,-43.09424,326.43,1.06,1.03,2025-06-27,0022,T,100,6.1NRT,295.93,24.68,N
-7.20711,-43.07682,364.73,1.06,1.03,2025-06-27,0022,T,100,6.1NRT,297.63,106.28,N
-7.20843,-43.0862,349.5,1.06,1.03,2025-06-27,0022,T,100,6.1NRT,297.57,64.66,N
-7.56294,-45.63862,307.6,1.04,1.02,2025-06-27,0022,T,69,6.1NRT,294.66,6.82,N
-7.55209,-45.82901,309.4,1.05,1.03,2025-06-27,0022,T,75,6.1NRT,294.31,7.35,N
-7.55335,-45.83832,324.66,1.06,1.03,2025-06-27,0022,T,100,6.1NRT,294.55,22.01,N
-7.54304,-45.83028,339,1.05,1.03,2025-06-27,0022,T,100,6.1NRT,295.57,42.63,N
-7.5443,-45.83963,313.33,1.06,1.03,2025-06-27,0022,T,84,6.1NRT,294.15,10.09,N
-7.53275,-45.82229,307.15,1.05,1.03,2025-06-27,0022,T,49,6.1NRT,293.65,5.64,N
-7.534,-45.83157,344.42,1.05,1.03,2025-06-27,0022,T,100,6.1NRT,295.32,52.94,N
-6.96737,-42.88304,325.16,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,295.73,23.48,N
-6.96873,-42.89258,398.23,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,302.26,269.16,N
-6.97009,-42.90214,365.52,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,298.67,110.69,N
-6.95822,-42.8844,360.7,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,297.27,96.19,N
-6.95959,-42.89394,410.55,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,304.06,357.79,N
-6.96095,-42.90348,371.47,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,299.43,131.94,N
-6.94908,-42.88573,310.76,1.08,1.04,2025-06-27,0024,T,78,6.1NRT,295.07,8.53,N
-6.95044,-42.89528,346.23,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,296.46,58.11,N
-6.95181,-42.90478,328.65,1.08,1.04,2025-06-27,0024,T,100,6.1NRT,296.65,26.77,N
-6.68924,-43.06805,321.63,1.07,1.03,2025-06-27,0024,T,100,6.1NRT,296.14,18.34,N
-6.69058,-43.07743,311.53,1.07,1.03,2025-06-27,0024,T,80,6.1NRT,295.89,8.4,N
-6.48039,-43.74418,311.24,1.02,1.01,2025-06-27,0024,T,81,6.1NRT,294.95,9.18,N
-6.48165,-43.75317,316.06,1.02,1.01,2025-06-27,0024,T,92,6.1NRT,293.97,13.2,N
-6.47148,-43.74552,334.56,1.02,1.01,2025-06-27,0024,T,100,6.1NRT,294.67,34.91,N
-6.47275,-43.75455,340.72,1.02,1.01,2025-06-27,0024,T,100,6.1NRT,294.13,44.93,N
-6.78158,-46.32771,304.83,1.09,1.04,2025-06-27,0024,T,62,6.1NRT,294.02,5.83,N
-6.77241,-46.32898,328.98,1.09,1.04,2025-06-27,0024,T,100,6.1NRT,295.34,29.7,N
-6.7737,-46.3386,315.8,1.09,1.04,2025-06-27,0024,T,92,6.1NRT,294.58,14.32,N
-6.27725,-43.67471,324.71,1.03,1.01,2025-06-27,0024,T,100,6.1NRT,295.5,21.28,N
-6.27853,-43.68387,325.38,1.03,1.01,2025-06-27,0024,T,100,6.1NRT,294.85,21.99,N
-7.08384,-49.60027,303.14,1.76,1.3,2025-06-27,0024,T,53,6.1NRT,292.98,10.43,N
-6.22437,-43.36349,309.77,1.05,1.02,2025-06-27,0024,T,76,6.1NRT,294.83,8.1,N
-6.26831,-43.676,308.32,1.03,1.01,2025-06-27,0024,T,72,6.1NRT,295.57,6.74,N
-6.26959,-43.68514,309.83,1.03,1.01,2025-06-27,0024,T,77,6.1NRT,295.09,7.79,N
-6.21533,-43.36477,316.58,1.05,1.02,2025-06-27,0024,T,93,6.1NRT,295.31,13.54,N
-6.66255,-47.5813,314.19,1.25,1.11,2025-06-27,0024,T,89,6.1NRT,294.49,16,N
-6.65275,-47.58271,311.3,1.25,1.11,2025-06-27,0024,T,82,6.1NRT,294.13,12.82,N
-5.97549,-43.75436,304.67,1.03,1.01,2025-06-27,0024,T,58,6.1NRT,294.19,4.74,N
-5.92635,-43.47178,306.55,1.05,1.02,2025-06-27,0024,T,66,6.1NRT,294.71,5.93,N
-5.91734,-43.47311,326.45,1.05,1.02,2025-06-27,0024,T,100,6.1NRT,296.03,24.32,N
-5.91865,-43.48233,321.57,1.05,1.02,2025-06-27,0024,T,100,6.1NRT,295.47,18.74,N
-5.85769,-43.63823,314.02,1.04,1.02,2025-06-27,0024,T,88,6.1NRT,295.34,11.29,N
-5.85898,-43.64738,321.44,1.04,1.02,2025-06-27,0024,T,100,6.1NRT,295.34,18.36,N
-6.17607,-48.07676,355.34,1.33,1.14,2025-06-27,0024,T,100,6.1NRT,296.67,109.43,N
-6.17762,-48.08862,425.96,1.33,1.14,2025-06-27,0024,T,100,6.1NRT,304.24,676.52,N
-6.17919,-48.10061,307.57,1.33,1.14,2025-06-27,0024,T,63,6.1NRT,294.82,8.54,N
-5.6149,-44.00584,309.54,1.02,1.01,2025-06-27,0024,T,78,6.1NRT,294.83,8.03,N
-6.16754,-48.09003,305.1,1.33,1.14,2025-06-27,0024,T,48,6.1NRT,294.67,6.31,N
-6.16716,-48.08434,315.07,1.33,1.14,2025-06-27,0024,T,91,6.1NRT,294.69,17.12,N
-6.16878,-48.09616,310.2,1.33,1.14,2025-06-27,0024,T,79,6.1NRT,294.96,11.41,N
-5.44233,-46.56551,311.31,1.08,1.04,2025-06-27,0024,T,82,6.1NRT,294.01,10.59,N
-5.17805,-46.11123,309.19,1.04,1.02,2025-06-27,0024,T,77,6.1NRT,293.54,8.14,N
-4.12676,-43.06855,311.65,1.13,1.06,2025-06-27,0024,T,83,6.1NRT,292.88,10.59,N
-3.99517,-43.24,306.52,1.11,1.05,2025-06-27,0024,T,68,6.1NRT,292.41,6.39,N
-4.69014,-48.86792,307.9,1.43,1.18,2025-06-27,0024,T,73,6.1NRT,293.63,11.13,N
-3.03776,-49.43689,315.15,1.49,1.2,2025-06-27,0024,T,90,6.1NRT,293.61,20.82,N
-3.03139,-49.43077,325.88,1.48,1.2,2025-06-27,0024,T,100,6.1NRT,293.9,39.58,N
-3.0332,-49.44379,317.05,1.49,1.2,2025-06-27,0024,T,94,6.1NRT,293.32,23.72,N
-2.44347,-47.4631,307.61,1.11,1.05,2025-06-27,0024,T,72,6.1NRT,293.01,7.37,N
48.36038,134.29185,308.35,1,1,2025-06-27,0102,T,14,6.1NRT,291.1,5.04,D
46.60051,131.07971,317.8,1.07,1.03,2025-06-27,0102,T,36,6.1NRT,305.63,8.34,D
46.0479,132.94926,318.41,1,1,2025-06-27,0102,T,20,6.1NRT,303.67,7.28,D
45.70152,132.50711,325.28,1,1,2025-06-27,0102,T,70,6.1NRT,303.84,14.27,D
34.71933,137.28766,313.46,2.2,1.44,2025-06-27,0105,T,0,6.1NRT,293.66,16.65,D
34.49988,132.89575,307.44,1.22,1.1,2025-06-27,0105,T,33,6.1NRT,292.67,5.59,D
34.4608,132.83318,311.35,1.22,1.1,2025-06-27,0105,T,37,6.1NRT,294.28,7.12,D
34.91758,127.73404,312.32,1.07,1.03,2025-06-27,0105,T,0,6.1NRT,292.95,7.53,D
33.88118,132.84001,307,1.24,1.11,2025-06-27,0105,T,51,6.1NRT,291.38,6.04,D
31.21498,119.22725,313.37,3.11,1.67,2025-06-27,0107,T,32,6.1NRT,292,27.42,D
30.89919,119.46189,316.64,2.97,1.64,2025-06-27,0107,T,24,6.1NRT,294.03,29.96,D
25.41907,119.31628,311.1,2.61,1.55,2025-06-27,0107,T,33,6.1NRT,294.84,24.86,D
14.8289,120.28648,314.31,1.57,1.23,2025-06-27,0109,T,0,6.1NRT,292.92,11.46,D
10.77724,123.49178,313.89,1,1,2025-06-27,0111,T,50,6.1NRT,293.5,5.52,D
-17.88624,24.35128,333,1.72,1.29,2025-06-27,0035,A,100,6.1NRT,283.49,78.25,N
-17.89751,24.34909,307.37,1.72,1.29,2025-06-27,0035,A,67,6.1NRT,281.84,23.5,N
-24.77216,32.98438,305.75,1.64,1.26,2025-06-27,0037,A,66,6.1NRT,287.43,16.39,N
-24.77397,33.0003,337.75,1.64,1.26,2025-06-27,0037,A,100,6.1NRT,289.81,85.19,N
-24.78333,32.98288,318.22,1.64,1.26,2025-06-27,0037,A,96,6.1NRT,287.53,35.02,N
-24.78515,32.99881,398.63,1.64,1.26,2025-06-27,0037,A,100,6.1NRT,297.45,509.06,N
-24.79634,32.9973,336,1.64,1.26,2025-06-27,0037,A,100,6.1NRT,288.42,79.23,N
-25.3043,31.30579,301.34,1.3,1.13,2025-06-27,0037,A,36,6.1NRT,285.12,9.79,N
-29.03988,29.35757,311.56,1.14,1.07,2025-06-27,0039,A,83,6.1NRT,274.22,19.43,N
-31.14601,29.89775,304.52,1.28,1.12,2025-06-27,0039,A,60,6.1NRT,282.27,12.6,N
-31.06964,28.53862,306.12,1.11,1.05,2025-06-27,0039,A,67,6.1NRT,276.99,13.46,N
-33.31683,27.39584,301.98,1.06,1.03,2025-06-27,0039,A,46,6.1NRT,280.48,8.92,N
54.66876,133.7417,346.69,1.09,1.04,2025-06-27,0058,T,94,6.1NRT,299.19,56.34,D
54.66692,133.75728,322.64,1.09,1.04,2025-06-27,0058,T,78,6.1NRT,299.76,16.91,D
54.27162,133.19373,328.09,1.11,1.05,2025-06-27,0058,T,83,6.1NRT,298.37,23.51,D
54.26242,133.1907,320.27,1.11,1.05,2025-06-27,0058,T,67,6.1NRT,298.9,12.89,D
54.26051,133.20726,329.91,1.11,1.05,2025-06-27,0058,T,84,6.1NRT,299.02,25.84,D
54.24941,133.22079,327.24,1.11,1.05,2025-06-27,0058,T,60,6.1NRT,299.02,21.09,D
54.24212,133.20122,335.74,1.11,1.05,2025-06-27,0058,T,85,6.1NRT,299.65,33.87,D
54.2367,133.16504,324.57,1.11,1.05,2025-06-27,0058,T,80,6.1NRT,297.19,19.82,D
54.8399,121.23921,311.13,3.66,1.79,2025-06-27,0058,T,68,6.1NRT,292.68,40.15,D
37.4039,39.60014,310.22,1.15,1.07,2025-06-27,0020,A,79,6.1NRT,297.6,9.2,N
37.39456,39.59823,340.65,1.15,1.07,2025-06-27,0020,A,100,6.1NRT,299.16,52.39,N
37.13168,39.22097,301.68,1.19,1.08,2025-06-27,0020,A,18,6.1NRT,291.55,4.56,N
36.8354,40.37129,302.75,1.07,1.03,2025-06-27,0020,A,51,6.1NRT,291.26,6.09,N
36.91878,38.98116,308.8,1.21,1.09,2025-06-27,0020,A,76,6.1NRT,289.96,12.88,N
